timestamp,open,high,low,close,volume
1609582500000,1.74120000,1.77130000,1.73870000,1.76660000,22032.23000000
1609583400000,1.77040000,1.77250000,1.74500000,1.74510000,59052.36000000
1609584300000,1.74650000,1.75330000,1.73650000,1.74350000,14284.55000000
1609585200000,1.74830000,1.77800000,1.74520000,1.76030000,45910.88000000
1609586100000,1.76030000,1.76100000,1.74500000,1.75190000,11050.28000000
1609587000000,1.74970000,1.75590000,1.74410000,1.75590000,13737.87000000
1609587900000,1.75240000,1.76630000,1.75240000,1.76550000,27008.31000000
1609588800000,1.76380000,1.77200000,1.74290000,1.74440000,50881.35000000
1609589700000,1.74440000,1.75460000,1.71160000,1.75330000,117124.16000000
1609590600000,1.75340000,1.78790000,1.75080000,1.76020000,62522.89000000
1609591500000,1.76000000,1.81470000,1.75500000,1.80530000,76150.08000000
1609592400000,1.80510000,1.84000000,1.80000000,1.83590000,125784.63000000
1609593300000,1.83470000,1.85530000,1.81010000,1.81940000,98385.60000000
1609594200000,1.81980000,1.83220000,1.79250000,1.80080000,58949.27000000
1609595100000,1.80040000,1.81420000,1.77960000,1.79550000,37365.53000000
1609596000000,1.79790000,1.80160000,1.77370000,1.77930000,31782.37000000
1609596900000,1.77910000,1.77910000,1.74430000,1.74550000,65590.67000000
1609597800000,1.74590000,1.76750000,1.74550000,1.76270000,15488.89000000
1609598700000,1.76420000,1.78200000,1.75560000,1.77600000,17300.22000000
1609599600000,1.77650000,1.80040000,1.76620000,1.78490000,31861.16000000
1609600500000,1.78540000,1.79150000,1.78200000,1.78440000,10295.64000000
1609601400000,1.78430000,1.79010000,1.75160000,1.75460000,22758.72000000
1609602300000,1.75690000,1.77930000,1.75460000,1.77930000,23277.88000000
1609603200000,1.77990000,1.78720000,1.75000000,1.75300000,29278.49000000
1609604100000,1.75310000,1.76560000,1.75300000,1.76510000,9962.51000000
1609605000000,1.76510000,1.77740000,1.75210000,1.75480000,27256.74000000
1609605900000,1.75480000,1.81660000,1.75210000,1.80110000,74115.07000000
1609606800000,1.80410000,1.87140000,1.80300000,1.85650000,86568.42000000
1609607700000,1.85670000,1.86430000,1.84550000,1.85480000,37908.74000000
1609608600000,1.85310000,1.90000000,1.84680000,1.89680000,62918.60000000
1609609500000,1.89990000,1.92120000,1.87140000,1.92060000,90205.58000000
1609610400000,1.92060000,2.00000000,1.91410000,1.95000000,205317.10000000
1609611300000,1.95000000,1.95700000,1.92450000,1.95050000,81193.02000000
1609612200000,1.95050000,1.98180000,1.92880000,1.93690000,137965.38000000
1609613100000,1.93670000,1.93690000,1.87200000,1.89070000,188868.65000000
1609614000000,1.89590000,1.91220000,1.87500000,1.88360000,37515.72000000
1609614900000,1.88540000,1.89150000,1.86650000,1.88100000,27648.69000000
1609615800000,1.88440000,1.91970000,1.88380000,1.90670000,23936.22000000
1609616700000,1.90700000,1.92920000,1.89500000,1.91760000,31432.79000000
1609617600000,1.91880000,1.92050000,1.86100000,1.87240000,41552.92000000
1609618500000,1.87710000,1.87710000,1.82000000,1.83510000,77757.39000000
1609619400000,1.83770000,1.85850000,1.81770000,1.82690000,45276.39000000
1609620300000,1.82220000,1.84250000,1.75950000,1.77320000,188880.86000000
1609621200000,1.77320000,1.83280000,1.75080000,1.80910000,80419.70000000
1609622100000,1.80560000,1.81290000,1.79680000,1.80890000,41114.48000000
1609623000000,1.80420000,1.82240000,1.80120000,1.82010000,16427.02000000
1609623900000,1.82000000,1.82990000,1.81860000,1.82150000,13440.73000000
1609624800000,1.82080000,1.82080000,1.79420000,1.80280000,19701.42000000
1609625700000,1.80140000,1.80310000,1.79000000,1.80030000,10919.57000000
1609626600000,1.79930000,1.79940000,1.78000000,1.79890000,57445.78000000
1609627500000,1.79500000,1.80650000,1.78960000,1.80480000,15618.87000000
1609628400000,1.80270000,1.81310000,1.76500000,1.81000000,72228.25000000
1609629300000,1.81000000,1.82110000,1.80300000,1.81990000,21920.11000000
1609630200000,1.81620000,1.81620000,1.78790000,1.80110000,15183.84000000
1609631100000,1.79730000,1.80200000,1.79150000,1.79990000,5099.64000000
1609632000000,1.79980000,1.82990000,1.79730000,1.82170000,34159.89000000
1609632900000,1.82220000,1.82530000,1.80190000,1.80190000,30995.82000000
1609633800000,1.80190000,1.81790000,1.80080000,1.80820000,5275.93000000
1609634700000,1.80820000,1.81000000,1.80080000,1.80880000,4684.02000000
1609635600000,1.80490000,1.83620000,1.80090000,1.82820000,9630.23000000
1609636500000,1.83020000,1.84890000,1.82000000,1.82270000,13218.54000000
1609637400000,1.82250000,1.82800000,1.81000000,1.81080000,14585.39000000
1609638300000,1.81050000,1.82000000,1.80350000,1.80530000,12398.55000000
1609639200000,1.80750000,1.82630000,1.80050000,1.82150000,18460.42000000
1609640100000,1.82440000,1.87560000,1.82190000,1.86100000,62512.81000000
1609641000000,1.86000000,1.88530000,1.84990000,1.88530000,38926.99000000
1609641900000,1.88230000,1.93390000,1.87830000,1.92230000,78165.72000000
1609642800000,1.92150000,1.92530000,1.88030000,1.89670000,52590.49000000
1609643700000,1.89780000,1.91500000,1.89010000,1.91190000,30831.97000000
1609644600000,1.91190000,1.91500000,1.89410000,1.90930000,23475.08000000
1609645500000,1.90930000,1.95000000,1.90530000,1.94620000,102970.05000000
1609646400000,1.94670000,1.95360000,1.93160000,1.95130000,56766.81000000
1609647300000,1.95350000,1.98000000,1.91430000,1.93290000,94179.52000000
1609648200000,1.93470000,1.97680000,1.91510000,1.95960000,78259.50000000
1609649100000,1.96070000,1.97700000,1.95830000,1.96740000,30405.51000000
1609650000000,1.96560000,1.98190000,1.95810000,1.96830000,75280.29000000
1609650900000,1.96870000,1.97790000,1.94990000,1.94990000,33563.40000000
1609651800000,1.94850000,1.96500000,1.93490000,1.96200000,39375.81000000
1609652700000,1.96200000,1.97000000,1.94980000,1.96360000,40856.66000000
1609653600000,1.96180000,2.04000000,1.96090000,2.04000000,151632.58000000
1609654500000,2.03990000,2.06410000,2.00220000,2.02490000,88975.62000000
1609655400000,2.02540000,2.09720000,2.02400000,2.08000000,84386.57000000
1609656300000,2.08000000,2.10000000,2.06460000,2.08180000,76893.62000000
1609657200000,2.08210000,2.10000000,2.04290000,2.05320000,82232.79000000
1609658100000,2.04960000,2.09000000,2.04260000,2.08380000,60191.15000000
1609659000000,2.08320000,2.08720000,2.06670000,2.07630000,19682.37000000
1609659900000,2.07700000,2.08000000,2.05230000,2.07090000,28580.60000000
1609660800000,2.06620000,2.16700000,2.06420000,2.14720000,123246.39000000
1609661700000,2.15270000,2.21540000,2.14930000,2.18950000,258742.34000000
1609662600000,2.18950000,2.26000000,2.17010000,2.19500000,182166.03000000
1609663500000,2.19640000,2.27700000,2.16700000,2.23030000,267468.82000000
1609664400000,2.23070000,2.30000000,2.21200000,2.27610000,210503.81000000
1609665300000,2.27610000,2.30000000,2.23000000,2.26670000,197190.91000000
